"1 Hour","1 Hour"
"2 Hours","2 Hours"
"6 Hours","6 Hours"
"12 Hours","12 Hours"
"24 Hours","24 Hours"
"Enable","Enable"
"Extension Updates","Extension Updates"
"Last Update","Last Update"
"Marketing Information","Marketing Information"
"Notification Types Allowed","Notification Types Allowed"
"Notifications Settings","Notifications Settings"
"Other Information","Other Information"
"SalesIds Extensions","SalesIds Extensions"
"Update Frequency","Update Frequency"
"Use HTTPS to Get Feed","Use HTTPS to Get Feed"